t,Vr-->,z_V,0,1,2,3,4,5,6
0,5,0,0,0,0,0,0,0,
0,10,0,0,0,0,0,0,0,
0,15,0,0,0,0,0,0,0,
0,20,0,0,0,0,0,0,0,
0,25,0,0,0,0,0,0,0,
0,30,0,0,0,0,0,0,0,
0,35,0,0,0,0,0,0,0,
0,40,0,0,0,0,0,0,0,
0,45,0,0,0,0,0,0,0,
0,50,0,0,0,0,0,0,0,
0,55,0,0,0,0,0,0,0,
0,60,0,0,0,0,0,0,0,
0,65,0,0,0,0,0,0,0,
0,70,0,0,0,0,0,0,0,
0,75,0,0,0,0,0,0,0,
0,80,0,0,0,0,0,0,0,
0,85,0,0,0,0,0,0,0,
0,90,0,0,0,0,0,0,0,
0,95,0,0,0,0,0,0,0,
0,100,0,0,0,0,0,0,0,

0,5,305,305,305,305,305,305,305,
0,10,305,305,305,305,305,305,305,
0,15,305,305,305,305,305,305,305,
0,20,305,305,305,305,305,305,305,
0,25,305,305,305,305,305,305,305,
0,30,305,305,305,305,305,305,305,
0,35,305,305,305,305,305,305,305,
0,40,305,305,305,305,305,305,305,
0,45,305,305,305,305,305,305,305,
0,50,305,305,305,305,305,305,305,
0,55,305,305,305,305,305,305,305,
0,60,305,305,305,305,305,305,305,
0,65,305,305,305,305,305,305,305,
0,70,305,305,305,305,305,305,305,
0,75,305,305,305,305,305,305,305,
0,80,305,305,305,305,305,305,305,
0,85,305,305,305,305,305,305,305,
0,90,305,305,305,305,305,305,305,
0,95,305,305,305,305,305,305,305,
0,100,305,305,305,305,305,305,305,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.1,5,0.000198013,0.000198013,0.000198013,0.000198013,0.000198013,0.000198013,0.000198013,
0.1,10,1.97353e-06,1.97353e-06,1.97353e-06,1.97353e-06,1.97353e-06,1.97353e-06,1.97353e-06,
0.1,15,1.31349e-08,1.31349e-08,1.31349e-08,1.31349e-08,1.31349e-08,1.31349e-08,1.31349e-08,
0.1,20,6.56107e-11,6.56107e-11,6.56107e-11,6.56107e-11,6.56107e-11,6.56107e-11,6.56107e-11,
0.1,25,2.61333e-13,2.61333e-13,2.61333e-13,2.61333e-13,2.61333e-13,2.61333e-13,2.61333e-13,
0.1,30,1.06667e-15,1.06667e-15,1.06667e-15,1.06667e-15,1.06667e-15,1.06667e-15,1.06667e-15,
0.1,35,0,0,0,0,0,0,0,
0.1,40,0,0,0,0,0,0,0,
0.1,45,0,0,0,0,0,0,0,
0.1,50,0,0,0,0,0,0,0,
0.1,55,0,0,0,0,0,0,0,
0.1,60,0,0,0,0,0,0,0,
0.1,65,0,0,0,0,0,0,0,
0.1,70,0,0,0,0,0,0,0,
0.1,75,0,0,0,0,0,0,0,
0.1,80,0,0,0,0,0,0,0,
0.1,85,0,0,0,0,0,0,0,
0.1,90,0,0,0,0,0,0,0,
0.1,95,0,0,0,0,0,0,0,
0.1,100,0,0,0,0,0,0,0,

0.1,5,305,305,305,305,305.005,305.138,307.863,
0.1,10,305,305,305,305,305.005,305.14,307.89,
0.1,15,305,305,305,305,305.005,305.14,307.891,
0.1,20,305,305,305,305,305.005,305.14,307.891,
0.1,25,305,305,305,305,305.005,305.14,307.891,
0.1,30,305,305,305,305,305.005,305.14,307.891,
0.1,35,305,305,305,305,305.005,305.14,307.891,
0.1,40,305,305,305,305,305.005,305.14,307.891,
0.1,45,305,305,305,305,305.005,305.14,307.891,
0.1,50,305,305,305,305,305.005,305.14,307.891,
0.1,55,305,305,305,305,305.005,305.14,307.891,
0.1,60,305,305,305,305,305.005,305.14,307.891,
0.1,65,305,305,305,305,305.005,305.14,307.891,
0.1,70,305,305,305,305,305.005,305.14,307.891,
0.1,75,305,305,305,305,305.005,305.14,307.891,
0.1,80,305,305,305,305,305.005,305.14,307.891,
0.1,85,305,305,305,305,305.005,305.14,307.891,
0.1,90,305,305,305,305,305.005,305.14,307.891,
0.1,95,305,305,305,305,305.005,305.14,307.891,
0.1,100,305,305,305,305,305.005,305.14,307.891,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.238524,5,0.000465847,0.000465847,0.000465847,0.000465847,0.000465847,0.000465847,0.000465847,
0.238524,10,1.10232e-05,1.10232e-05,1.10232e-05,1.10232e-05,1.10232e-05,1.10232e-05,1.10232e-05,
0.238524,15,1.74588e-07,1.74588e-07,1.74588e-07,1.74588e-07,1.74588e-07,1.74588e-07,1.74588e-07,
0.238524,20,2.0772e-09,2.0772e-09,2.0772e-09,2.0772e-09,2.0772e-09,2.0772e-09,2.0772e-09,
0.238524,25,1.97796e-11,1.97796e-11,1.97796e-11,1.97796e-11,1.97796e-11,1.97796e-11,1.97796e-11,
0.238524,30,1.58552e-13,1.58552e-13,1.58552e-13,1.58552e-13,1.58552e-13,1.58552e-13,1.58552e-13,
0.238524,35,1.07487e-15,1.07487e-15,1.07487e-15,1.07487e-15,1.07487e-15,1.07487e-15,1.07487e-15,
0.238524,40,6.08032e-18,6.08032e-18,6.08032e-18,6.08032e-18,6.08032e-18,6.08032e-18,6.08032e-18,
0.238524,45,2.84442e-20,2.84442e-20,2.84442e-20,2.84442e-20,2.84442e-20,2.84442e-20,2.84442e-20,
0.238524,50,1.09283e-22,1.09283e-22,1.09283e-22,1.09283e-22,1.09283e-22,1.09283e-22,1.09283e-22,
0.238524,55,3.37218e-25,3.37218e-25,3.37218e-25,3.37218e-25,3.37218e-25,3.37218e-25,3.37218e-25,
0.238524,60,8.03907e-28,8.03907e-28,8.03907e-28,8.03907e-28,8.03907e-28,8.03907e-28,8.03907e-28,
0.238524,65,0,0,0,0,0,0,0,
0.238524,70,0,0,0,0,0,0,0,
0.238524,75,0,0,0,0,0,0,0,
0.238524,80,0,0,0,0,0,0,0,
0.238524,85,0,0,0,0,0,0,0,
0.238524,90,0,0,0,0,0,0,0,
0.238524,95,0,0,0,0,0,0,0,
0.238524,100,0,0,0,0,0,0,0,

0.238524,5,305,305,305,305.003,305.05,305.646,310.832,
0.238524,10,305,305,305,305.003,305.052,305.665,310.958,
0.238524,15,305,305,305,305.003,305.052,305.666,310.96,
0.238524,20,305,305,305,305.003,305.052,305.666,310.96,
0.238524,25,305,305,305,305.003,305.052,305.666,310.96,
0.238524,30,305,305,305,305.003,305.052,305.666,310.96,
0.238524,35,305,305,305,305.003,305.052,305.666,310.96,
0.238524,40,305,305,305,305.003,305.052,305.666,310.96,
0.238524,45,305,305,305,305.003,305.052,305.666,310.96,
0.238524,50,305,305,305,305.003,305.052,305.666,310.96,
0.238524,55,305,305,305,305.003,305.052,305.666,310.96,
0.238524,60,305,305,305,305.003,305.052,305.666,310.96,
0.238524,65,305,305,305,305.003,305.052,305.666,310.96,
0.238524,70,305,305,305,305.003,305.052,305.666,310.96,
0.238524,75,305,305,305,305.003,305.052,305.666,310.96,
0.238524,80,305,305,305,305.003,305.052,305.666,310.96,
0.238524,85,305,305,305,305.003,305.052,305.666,310.96,
0.238524,90,305,305,305,305.003,305.052,305.666,310.96,
0.238524,95,305,305,305,305.003,305.052,305.666,310.96,
0.238524,100,305,305,305,305.003,305.052,305.666,310.96,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.386608,5,0.000744076,0.000744076,0.000744076,0.000744076,0.000744076,0.000744076,0.000744075,
0.386608,10,2.83959e-05,2.83959e-05,2.83959e-05,2.83959e-05,2.83959e-05,2.83959e-05,2.83959e-05,
0.386608,15,7.27132e-07,7.27132e-07,7.27132e-07,7.27132e-07,7.27132e-07,7.27132e-07,7.27132e-07,
0.386608,20,1.40011e-08,1.40011e-08,1.40011e-08,1.40011e-08,1.40011e-08,1.40011e-08,1.40011e-08,
0.386608,25,2.1594e-10,2.1594e-10,2.1594e-10,2.1594e-10,2.1594e-10,2.1594e-10,2.1594e-10,
0.386608,30,2.78058e-12,2.78058e-12,2.78058e-12,2.78058e-12,2.78058e-12,2.78058e-12,2.78058e-12,
0.386608,35,3.07321e-14,3.07321e-14,3.07321e-14,3.07321e-14,3.07321e-14,3.07321e-14,3.07321e-14,
0.386608,40,2.96484e-16,2.96484e-16,2.96484e-16,2.96484e-16,2.96484e-16,2.96484e-16,2.96484e-16,
0.386608,45,2.51899e-18,2.51899e-18,2.51899e-18,2.51899e-18,2.51899e-18,2.51899e-18,2.51899e-18,
0.386608,50,1.89248e-20,1.89248e-20,1.89248e-20,1.89248e-20,1.89248e-20,1.89248e-20,1.89248e-20,
0.386608,55,1.25879e-22,1.25879e-22,1.25879e-22,1.25879e-22,1.25879e-22,1.25879e-22,1.25879e-22,
0.386608,60,7.41012e-25,7.41012e-25,7.41012e-25,7.41012e-25,7.41012e-25,7.41012e-25,7.41012e-25,
0.386608,65,3.83396e-27,3.83396e-27,3.83396e-27,3.83396e-27,3.83396e-27,3.83396e-27,3.83396e-27,
0.386608,70,1.72097e-29,1.72097e-29,1.72097e-29,1.72097e-29,1.72097e-29,1.72097e-29,1.72097e-29,
0.386608,75,6.58833e-32,6.58833e-32,6.58833e-32,6.58833e-32,6.58833e-32,6.58833e-32,6.58833e-32,
0.386608,80,2.09701e-34,2.09701e-34,2.09701e-34,2.09701e-34,2.09701e-34,2.09701e-34,2.09701e-34,
0.386608,85,5.26529e-37,5.26529e-37,5.26529e-37,5.26529e-37,5.26529e-37,5.26529e-37,5.26529e-37,
0.386608,90,9.04227e-40,9.04227e-40,9.04227e-40,9.04227e-40,9.04227e-40,9.04227e-40,9.04227e-40,
0.386608,95,0,0,0,0,0,0,0,
0.386608,100,0,0,0,0,0,0,0,

0.386608,5,305,305,305.001,305.017,305.172,306.393,313.147,
0.386608,10,305,305,305.002,305.018,305.181,306.46,313.416,
0.386608,15,305,305,305.002,305.018,305.181,306.461,313.422,
0.386608,20,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,25,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,30,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,35,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,40,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,45,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,50,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,55,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,60,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,65,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,70,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,75,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,80,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,85,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,90,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,95,305,305,305.002,305.018,305.181,306.461,313.423,
0.386608,100,305,305,305.002,305.018,305.181,306.461,313.423,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.550766,5,0.00104302,0.00104302,0.00104302,0.00104302,0.00104302,0.00104302,0.00104302,
0.550766,10,5.63919e-05,5.63919e-05,5.63919e-05,5.63919e-05,5.63919e-05,5.63919e-05,5.63918e-05,
0.550766,15,2.05144e-06,2.05144e-06,2.05144e-06,2.05144e-06,2.05144e-06,2.05144e-06,2.05144e-06,
0.550766,20,5.61792e-08,5.61792e-08,5.61792e-08,5.61792e-08,5.61792e-08,5.61792e-08,5.61792e-08,
0.550766,25,1.23305e-09,1.23305e-09,1.23305e-09,1.23305e-09,1.23305e-09,1.23305e-09,1.23305e-09,
0.550766,30,2.25825e-11,2.25825e-11,2.25825e-11,2.25825e-11,2.25825e-11,2.25825e-11,2.25825e-11,
0.550766,35,3.54914e-13,3.54914e-13,3.54914e-13,3.54914e-13,3.54914e-13,3.54914e-13,3.54914e-13,
0.550766,40,4.88337e-15,4.88337e-15,4.88337e-15,4.88337e-15,4.88337e-15,4.88337e-15,4.88337e-15,
0.550766,45,5.96675e-17,5.96675e-17,5.96675e-17,5.96675e-17,5.96675e-17,5.96675e-17,5.96675e-17,
0.550766,50,6.53836e-19,6.53836e-19,6.53836e-19,6.53836e-19,6.53836e-19,6.53836e-19,6.53836e-19,
