t,Vr-->,z_V,0,1,2,3,4,5,6
0,5,0,0,0,0,0,0,0,
0,10,0,0,0,0,0,0,0,
0,15,0,0,0,0,0,0,0,
0,20,0,0,0,0,0,0,0,
0,25,0,0,0,0,0,0,0,
0,30,0,0,0,0,0,0,0,
0,35,0,0,0,0,0,0,0,
0,40,0,0,0,0,0,0,0,
0,45,0,0,0,0,0,0,0,
0,50,0,0,0,0,0,0,0,
0,55,0,0,0,0,0,0,0,
0,60,0,0,0,0,0,0,0,
0,65,0,0,0,0,0,0,0,
0,70,0,0,0,0,0,0,0,
0,75,0,0,0,0,0,0,0,
0,80,0,0,0,0,0,0,0,
0,85,0,0,0,0,0,0,0,
0,90,0,0,0,0,0,0,0,
0,95,0,0,0,0,0,0,0,
0,100,0,0,0,0,0,0,0,

0,5,305,305,305,305,305,305,305,
0,10,305,305,305,305,305,305,305,
0,15,305,305,305,305,305,305,305,
0,20,305,305,305,305,305,305,305,
0,25,305,305,305,305,305,305,305,
0,30,305,305,305,305,305,305,305,
0,35,305,305,305,305,305,305,305,
0,40,305,305,305,305,305,305,305,
0,45,305,305,305,305,305,305,305,
0,50,305,305,305,305,305,305,305,
0,55,305,305,305,305,305,305,305,
0,60,305,305,305,305,305,305,305,
0,65,305,305,305,305,305,305,305,
0,70,305,305,305,305,305,305,305,
0,75,305,305,305,305,305,305,305,
0,80,305,305,305,305,305,305,305,
0,85,305,305,305,305,305,305,305,
0,90,305,305,305,305,305,305,305,
0,95,305,305,305,305,305,305,305,
0,100,305,305,305,305,305,305,305,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.0476855,5,9.49177e-05,9.49177e-05,9.49177e-05,9.49177e-05,9.49177e-05,9.49177e-05,9.49177e-05,
0.0476855,10,4.519e-07,4.519e-07,4.519e-07,4.519e-07,4.519e-07,4.519e-07,4.519e-07,
0.0476855,15,1.43546e-09,1.43546e-09,1.43546e-09,1.43546e-09,1.43546e-09,1.43546e-09,1.43546e-09,
0.0476855,20,3.42093e-12,3.42093e-12,3.42093e-12,3.42093e-12,3.42093e-12,3.42093e-12,3.42093e-12,
0.0476855,25,6.51236e-15,6.51236e-15,6.51236e-15,6.51236e-15,6.51236e-15,6.51236e-15,6.51236e-15,
0.0476855,30,1.25414e-17,1.25414e-17,1.25414e-17,1.25414e-17,1.25414e-17,1.25414e-17,1.25414e-17,
0.0476855,35,0,0,0,0,0,0,0,
0.0476855,40,0,0,0,0,0,0,0,
0.0476855,45,0,0,0,0,0,0,0,
0.0476855,50,0,0,0,0,0,0,0,
0.0476855,55,0,0,0,0,0,0,0,
0.0476855,60,0,0,0,0,0,0,0,
0.0476855,65,0,0,0,0,0,0,0,
0.0476855,70,0,0,0,0,0,0,0,
0.0476855,75,0,0,0,0,0,0,0,
0.0476855,80,0,0,0,0,0,0,0,
0.0476855,85,0,0,0,0,0,0,0,
0.0476855,90,0,0,0,0,0,0,0,
0.0476855,95,0,0,0,0,0,0,0,
0.0476855,100,0,0,0,0,0,0,0,

0.0476855,5,305,305,305,305,304.995,305.052,307.66,
0.0476855,10,305,305,305,305,304.995,305.052,307.672,
0.0476855,15,305,305,305,305,304.995,305.052,307.672,
0.0476855,20,305,305,305,305,304.995,305.052,307.672,
0.0476855,25,305,305,305,305,304.995,305.052,307.672,
0.0476855,30,305,305,305,305,304.995,305.052,307.672,
0.0476855,35,305,305,305,305,304.995,305.052,307.672,
0.0476855,40,305,305,305,305,304.995,305.052,307.672,
0.0476855,45,305,305,305,305,304.995,305.052,307.672,
0.0476855,50,305,305,305,305,304.995,305.052,307.672,
0.0476855,55,305,305,305,305,304.995,305.052,307.672,
0.0476855,60,305,305,305,305,304.995,305.052,307.672,
0.0476855,65,305,305,305,305,304.995,305.052,307.672,
0.0476855,70,305,305,305,305,304.995,305.052,307.672,
0.0476855,75,305,305,305,305,304.995,305.052,307.672,
0.0476855,80,305,305,305,305,304.995,305.052,307.672,
0.0476855,85,305,305,305,305,304.995,305.052,307.672,
0.0476855,90,305,305,305,305,304.995,305.052,307.672,
0.0476855,95,305,305,305,305,304.995,305.052,307.672,
0.0476855,100,305,305,305,305,304.995,305.052,307.672,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.11088,5,0.00021932,0.00021932,0.00021932,0.00021932,0.00021932,0.00021932,0.00021932,
0.11088,10,2.42284e-06,2.42284e-06,2.42284e-06,2.42284e-06,2.42284e-06,2.42284e-06,2.42284e-06,
0.11088,15,1.78765e-08,1.78765e-08,1.78765e-08,1.78765e-08,1.78765e-08,1.78765e-08,1.78765e-08,
0.11088,20,9.89977e-11,9.89977e-11,9.89977e-11,9.89977e-11,9.89977e-11,9.89977e-11,9.89977e-11,
0.11088,25,4.38683e-13,4.38683e-13,4.38683e-13,4.38683e-13,4.38683e-13,4.38683e-13,4.38683e-13,
0.11088,30,1.63406e-15,1.63406e-15,1.63406e-15,1.63406e-15,1.63406e-15,1.63406e-15,1.63406e-15,
0.11088,35,5.15492e-18,5.15492e-18,5.15492e-18,5.15492e-18,5.15492e-18,5.15492e-18,5.15492e-18,
0.11088,40,1.36144e-20,1.36144e-20,1.36144e-20,1.36144e-20,1.36144e-20,1.36144e-20,1.36144e-20,
0.11088,45,2.98118e-23,2.98118e-23,2.98118e-23,2.98118e-23,2.98118e-23,2.98118e-23,2.98118e-23,
0.11088,50,5.36463e-26,5.36463e-26,5.36463e-26,5.36463e-26,5.36463e-26,5.36463e-26,5.36463e-26,
0.11088,55,7.74401e-29,7.74401e-29,7.74401e-29,7.74401e-29,7.74401e-29,7.74401e-29,7.74401e-29,
0.11088,60,8.52048e-32,8.52048e-32,8.52048e-32,8.52048e-32,8.52048e-32,8.52048e-32,8.52048e-32,
0.11088,65,0,0,0,0,0,0,0,
0.11088,70,0,0,0,0,0,0,0,
0.11088,75,0,0,0,0,0,0,0,
0.11088,80,0,0,0,0,0,0,0,
0.11088,85,0,0,0,0,0,0,0,
0.11088,90,0,0,0,0,0,0,0,
0.11088,95,0,0,0,0,0,0,0,
0.11088,100,0,0,0,0,0,0,0,

0.11088,5,305,305.001,305,304.998,304.985,305.242,310.148,
0.11088,10,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,15,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,20,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,25,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,30,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,35,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,40,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,45,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,50,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,55,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,60,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,65,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,70,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,75,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,80,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,85,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,90,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,95,305,305.001,305,304.998,304.985,305.246,310.199,
0.11088,100,305,305.001,305,304.998,304.985,305.246,310.199,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.178376,5,0.000350463,0.000350463,0.000350463,0.000350463,0.000350463,0.000350463,0.000350463,
0.178376,10,6.21424e-06,6.21424e-06,6.21424e-06,6.21424e-06,6.21424e-06,6.21424e-06,6.21424e-06,
0.178376,15,7.36777e-08,7.36777e-08,7.36777e-08,7.36777e-08,7.36777e-08,7.36777e-08,7.36777e-08,
0.178376,20,6.55941e-10,6.55941e-10,6.55941e-10,6.55941e-10,6.55941e-10,6.55941e-10,6.55941e-10,
0.178376,25,4.67443e-12,4.67443e-12,4.67443e-12,4.67443e-12,4.67443e-12,4.67443e-12,4.67443e-12,
0.178376,30,2.77985e-14,2.77985e-14,2.77985e-14,2.77985e-14,2.77985e-14,2.77985e-14,2.77985e-14,
0.178376,35,1.41843e-16,1.41843e-16,1.41843e-16,1.41843e-16,1.41843e-16,1.41843e-16,1.41843e-16,
0.178376,40,6.31679e-19,6.31679e-19,6.31679e-19,6.31679e-19,6.31679e-19,6.31679e-19,6.31679e-19,
0.178376,45,2.47798e-21,2.47798e-21,2.47798e-21,2.47798e-21,2.47798e-21,2.47798e-21,2.47798e-21,
0.178376,50,8.59995e-24,8.59995e-24,8.59995e-24,8.59995e-24,8.59995e-24,8.59995e-24,8.59995e-24,
0.178376,55,2.64434e-26,2.64434e-26,2.64434e-26,2.64434e-26,2.64434e-26,2.64434e-26,2.64434e-26,
0.178376,60,7.20039e-29,7.20039e-29,7.20039e-29,7.20039e-29,7.20039e-29,7.20039e-29,7.20039e-29,
0.178376,65,1.72509e-31,1.72509e-31,1.72509e-31,1.72509e-31,1.72509e-31,1.72509e-31,1.72509e-31,
0.178376,70,3.59069e-34,3.59069e-34,3.59069e-34,3.59069e-34,3.59069e-34,3.59069e-34,3.59069e-34,
0.178376,75,6.37972e-37,6.37972e-37,6.37972e-37,6.37972e-37,6.37972e-37,6.37972e-37,6.37972e-37,
0.178376,80,9.41919e-40,9.41919e-40,9.41919e-40,9.41919e-40,9.41919e-40,9.41919e-40,9.41919e-40,
0.178376,85,1.0941e-42,1.0941e-42,1.0941e-42,1.0941e-42,1.0941e-42,1.0941e-42,1.0941e-42,
0.178376,90,8.59289e-46,8.59289e-46,8.59289e-46,8.59289e-46,8.59289e-46,8.59289e-46,8.59289e-46,
0.178376,95,0,0,0,0,0,0,0,
0.178376,100,0,0,0,0,0,0,0,

0.178376,5,305.001,305.003,305,304.995,304.984,305.54,311.966,
0.178376,10,305.001,305.003,305,304.994,304.984,305.552,312.068,
0.178376,15,305.001,305.003,305,304.994,304.984,305.552,312.07,
0.178376,20,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,25,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,30,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,35,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,40,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,45,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,50,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,55,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,60,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,65,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,70,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,75,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,80,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,85,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,90,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,95,305.001,305.003,305,304.994,304.984,305.553,312.07,
0.178376,100,305.001,305.003,305,304.994,304.984,305.553,312.07,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.252641,5,0.000492729,0.000492729,0.000492729,0.000492729,0.000492729,0.000492729,0.000492729,
0.252641,10,1.23436e-05,1.23436e-05,1.23436e-05,1.23436e-05,1.23436e-05,1.23436e-05,1.23436e-05,
0.252641,15,2.07021e-07,2.07021e-07,2.07021e-07,2.07021e-07,2.07021e-07,2.07021e-07,2.07021e-07,
0.252641,20,2.60847e-09,2.60847e-09,2.60847e-09,2.60847e-09,2.60847e-09,2.60847e-09,2.60847e-09,
0.252641,25,2.63155e-11,2.63155e-11,2.63155e-11,2.63155e-11,2.63155e-11,2.63155e-11,2.63155e-11,
0.252641,30,2.21398e-13,2.21398e-13,2.21398e-13,2.21398e-13,2.21398e-13,2.21398e-13,2.21398e-13,
0.252641,35,1.59779e-15,1.59779e-15,1.59779e-15,1.59779e-15,1.59779e-15,1.59779e-15,1.59779e-15,
