t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606531,0.726149,0.83527,0.923116,0.980199,1,0.980199,0.923116,0.83527,0.726149,0.606531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01088e-09,2.52236e-06,0.00302558,0.604103,0.726095,0.835164,0.922963,0.980012,0.999802,0.980012,0.922963,0.835164,0.726095,0.604103,0.00302558,2.52236e-06,1.01088e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.269327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97101e-17,1.92101e-13,3.76648e-10,3.23083e-07,0.000131415,0.0216282,0.589212,0.725663,0.834499,0.922001,0.978847,0.998565,0.978847,0.922001,0.834499,0.725663,0.589212,0.0216282,0.000131415,3.23083e-07,3.76648e-10,1.92101e-13,3.97101e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.438653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55991e-24,1.25603e-20,3.53589e-17,5.05515e-14,4.13097e-11,2.02693e-08,5.8705e-06,0.000907222,0.0557854,0.562055,0.724412,0.833221,0.920161,0.976618,0.996197,0.976618,0.920161,0.833221,0.724412,0.562055,0.0557854,0.000907222,5.8705e-06,2.02693e-08,4.13097e-11,5.05515e-14,3.53589e-17,1.25603e-20,1.55991e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.61602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09439e-32,9.64442e-28,3.60114e-24,7.08413e-21,8.48854e-18,6.66378e-15,3.53549e-12,1.27082e-09,3.01175e-07,4.3967e-05,0.00342425,0.105297,0.523168,0.721422,0.831206,0.917297,0.97315,0.992514,0.97315,0.917297,0.831206,0.721422,0.523168,0.105297,0.00342425,4.3967e-05,3.01175e-07,1.27082e-09,3.53549e-12,6.66378e-15,8.48854e-18,7.08413e-21,3.60114e-24,9.64442e-28,8.09439e-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.801915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56722e-39,9.08789e-35,4.28266e-31,1.0688e-27,1.66907e-24,1.77085e-21,1.33458e-18,7.30792e-16,2.92635e-13,8.49869e-11,1.74583e-08,2.41754e-06,0.000207145,0.00942447,0.167708,0.475132,0.715274,0.828286,0.913274,0.968284,0.987346,0.968284,0.913274,0.828286,0.715274,0.475132,0.167708,0.00942447,0.000207145,2.41754e-06,1.74583e-08,8.49869e-11,2.92635e-13,7.30792e-16,1.33458e-18,1.77085e-21,1.66907e-24,1.0688e-27,4.28266e-31,9.08789e-35,5.56722e-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21646e-46,1.30582e-41,7.43925e-38,2.23095e-34,4.23288e-31,5.55297e-28,5.29884e-25,3.79096e-22,2.06833e-19,8.66684e-17,2.78449e-14,6.78704e-12,1.22874e-09,1.59463e-07,1.40133e-05,0.000760525,0.021785,0.240977,0.420618,0.703627,0.824008,0.907742,0.961605,0.980257,0.961605,0.907742,0.824008,0.703627,0.420618,0.240977,0.021785,0.000760525,1.40133e-05,1.59463e-07,1.22874e-09,6.78704e-12,2.78449e-14,8.66684e-17,2.06833e-19,3.79096e-22,5.29884e-25,5.55297e-28,4.23288e-31,2.23095e-34,7.43925e-38,1.30582e-41,6.21646e-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.20498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94142e-53,1.82583e-48,1.23834e-44,4.37767e-41,9.83531e-38,1.54326e-34,1.78611e-31,1.57782e-28,1.08734e-25,5.92353e-23,2.56797e-20,8.86753e-18,2.4279e-15,5.21534e-13,8.63421e-11,1.07197e-08,9.58111e-07,5.79778e-05,0.00215911,0.0421372,0.312691,0.370246,0.685427,0.818225,0.900995,0.953498,0.971653,0.953498,0.900995,0.818225,0.685427,0.370246,0.312691,0.0421372,0.00215911,5.79778e-05,9.58111e-07,1.07197e-08,8.63421e-11,5.21534e-13,2.4279e-15,8.86753e-18,2.56797e-20,5.92353e-23,1.08734e-25,1.57782e-28,1.78611e-31,1.54326e-34,9.83531e-38,4.37767e-41,1.23834e-44,1.82583e-48,6.94142e-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.40651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75091e-60,2.49707e-55,1.98999e-51,8.17266e-48,2.13456e-44,3.91576e-41,5.34419e-38,5.62956e-35,4.69078e-32,3.1429e-29,1.71131e-26,7.61773e-24,2.77775e-21,8.28279e-19,2.00845e-16,3.92162e-14,6.07378e-12,7.30154e-10,6.60634e-08,4.30575e-06,0.000189634,0.00511745,0.0717673,0.37588,0.330214,0.659899,0.810395,0.893016,0.943995,0.961575,0.943995,0.893016,0.810395,0.659899,0.330214,0.37588,0.0717673,0.00511745,0.000189634,4.30575e-06,6.60634e-08,7.30154e-10,6.07378e-12,3.92162e-14,2.00845e-16,8.28279e-19,2.77775e-21,7.61773e-24,1.71131e-26,3.1429e-29,4.69078e-32,5.62956e-35,5.34419e-38,3.91576e-41,2.13456e-44,8.17266e-48,1.98999e-51,2.49707e-55,7.75091e-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65481e-67,3.35331e-62,3.10461e-58,1.46408e-54,4.38381e-51,9.24602e-48,1.4587e-44,1.78924e-41,1.75184e-38,1.39449e-35,9.14115e-33,4.9773e-30,2.26302e-27,8.61231e-25,2.74263e-22,7.28715e-20,1.60617e-17,2.91056e-15,4.28109e-13,5.02177e-11,4.58597e-09,3.15493e-07,1.56196e-05,0.000521113,0.0105988,0.110938,0.425042,0.305251,0.627183,0.799798,0.883746,0.933136,0.95007,0.933136,0.883746,0.799798,0.627183,0.305251,0.425042,0.110938,0.0105988,0.000521113,1.56196e-05,3.15493e-07,4.58597e-09,5.02177e-11,4.28109e-13,2.91056e-15,1.60617e-17,7.28715e-20,2.74263e-22,8.61231e-25,2.26302e-27,4.9773e-30,9.14115e-33,1.39449e-35,1.75184e-38,1.78924e-41,1.4587e-44,9.24602e-48,4.38381e-51,1.46408e-54,3.10461e-58,3.35331e-62,8.65481e-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
