t,Vr-->,z_V,0,1,2,3,4,5,6
0,5,0,0,0,0,0,0,0,
0,10,0,0,0,0,0,0,0,
0,15,0,0,0,0,0,0,0,
0,20,0,0,0,0,0,0,0,
0,25,0,0,0,0,0,0,0,
0,30,0,0,0,0,0,0,0,
0,35,0,0,0,0,0,0,0,
0,40,0,0,0,0,0,0,0,
0,45,0,0,0,0,0,0,0,
0,50,0,0,0,0,0,0,0,
0,55,0,0,0,0,0,0,0,
0,60,0,0,0,0,0,0,0,
0,65,0,0,0,0,0,0,0,
0,70,0,0,0,0,0,0,0,
0,75,0,0,0,0,0,0,0,
0,80,0,0,0,0,0,0,0,
0,85,0,0,0,0,0,0,0,
0,90,0,0,0,0,0,0,0,
0,95,0,0,0,0,0,0,0,
0,100,0,0,0,0,0,0,0,

0,5,305,305,305,305,305,305,305,
0,10,305,305,305,305,305,305,305,
0,15,305,305,305,305,305,305,305,
0,20,305,305,305,305,305,305,305,
0,25,305,305,305,305,305,305,305,
0,30,305,305,305,305,305,305,305,
0,35,305,305,305,305,305,305,305,
0,40,305,305,305,305,305,305,305,
0,45,305,305,305,305,305,305,305,
0,50,305,305,305,305,305,305,305,
0,55,305,305,305,305,305,305,305,
0,60,305,305,305,305,305,305,305,
0,65,305,305,305,305,305,305,305,
0,70,305,305,305,305,305,305,305,
0,75,305,305,305,305,305,305,305,
0,80,305,305,305,305,305,305,305,
0,85,305,305,305,305,305,305,305,
0,90,305,305,305,305,305,305,305,
0,95,305,305,305,305,305,305,305,
0,100,305,305,305,305,305,305,305,

t_Vr-->,z_V,0,1,2,3,4,5,6
3.67671e-07,5,6.81304e-10,6.91943e-10,7.42169e-10,-5.08197e-07,2.19973e-06,-1.28213e-05,-8.77145e-07,
3.67671e-07,10,-5.73317e-06,-3.72185e-05,6.38811e-06,-5.08934e-07,2.199e-06,-1.28221e-05,-8.77912e-07,
3.67671e-07,15,3.02079e-11,1.96345e-10,-3.37002e-11,-3.74183e-14,1.61631e-13,-9.42474e-13,-6.43696e-14,
3.67671e-07,20,-5.29274e-11,-4.24957e-11,6.68391e-12,-4.53021e-07,1.96258e-06,-1.14353e-05,-8.71984e-07,
3.67671e-07,25,-5.73317e-06,-3.72185e-05,6.38811e-06,-5.08934e-07,2.199e-06,-1.28221e-05,-8.77912e-07,
3.67671e-07,30,3.02079e-11,1.96345e-10,-3.37002e-11,-3.74183e-14,1.61631e-13,-9.42474e-13,-6.43696e-14,
3.67671e-07,35,-5.29274e-11,-4.24957e-11,6.68391e-12,-4.53021e-07,1.96258e-06,-1.14353e-05,-8.71984e-07,
3.67671e-07,40,-5.73317e-06,-3.72185e-05,6.38811e-06,-5.08934e-07,2.199e-06,-1.28221e-05,-8.77912e-07,
3.67671e-07,45,3.02079e-11,1.96345e-10,-3.37002e-11,-3.74183e-14,1.61631e-13,-9.42474e-13,-6.43696e-14,
3.67671e-07,50,-5.29274e-11,-4.24957e-11,6.68391e-12,-4.53021e-07,1.96258e-06,-1.14353e-05,-8.71984e-07,
3.67671e-07,55,-5.73317e-06,-3.72185e-05,6.38811e-06,-5.08934e-07,2.199e-06,-1.28221e-05,-8.77912e-07,
3.67671e-07,60,3.02079e-11,1.96345e-10,-3.37002e-11,-3.74183e-14,1.61631e-13,-9.42474e-13,-6.43696e-14,
3.67671e-07,65,1.59398e-06,4.15097e-06,-7.20115e-07,-4.53021e-07,1.96258e-06,-1.14353e-05,-8.71979e-07,
3.67671e-07,70,-5.73317e-06,-3.72185e-05,6.38811e-06,-5.08934e-07,2.199e-06,-1.28221e-05,-8.77912e-07,
3.67671e-07,75,2.96609e-11,-1.11351e-07,1.85575e-08,-4.06918e-14,1.9649e-13,-1.13455e-12,-1.52955e-13,
3.67671e-07,80,1.59398e-06,4.03942e-06,-7.01523e-07,-4.53021e-07,1.96258e-06,-1.14353e-05,-8.71979e-07,
3.67671e-07,85,-5.73317e-06,-3.73301e-05,6.40671e-06,-5.08934e-07,2.199e-06,-1.28221e-05,-8.77912e-07,
3.67671e-07,90,2.96609e-11,-1.11351e-07,1.85575e-08,-4.06918e-14,1.9649e-13,-1.13455e-12,-1.52955e-13,
3.67671e-07,95,1.59398e-06,4.03943e-06,-7.01525e-07,-4.53021e-07,1.96258e-06,-1.14353e-05,-8.71979e-07,
3.67671e-07,100,-5.73317e-06,-3.73301e-05,6.40671e-06,-5.08934e-07,2.199e-06,-1.28221e-05,-8.77912e-07,

3.67671e-07,5,305,305,305,305,305,305,305,
3.67671e-07,10,305,305,305,305,305,305,305,
3.67671e-07,15,305,305,305,305,305,305,305,
3.67671e-07,20,305,305,305,305,305,305,305,
3.67671e-07,25,305,305,305,305,305,305,305,
3.67671e-07,30,305,305,305,305,305,305,305,
3.67671e-07,35,305,305,305,305,305,305,305,
3.67671e-07,40,305,305,305,305,305,305,305,
3.67671e-07,45,305,305,305,305,305,305,305,
3.67671e-07,50,305,305,305,305,305,305,305,
3.67671e-07,55,305,305,305,305,305,305,305,
3.67671e-07,60,305,305,305,305,305,305,305,
3.67671e-07,65,305,305,305,305,305,305,305,
3.67671e-07,70,305,305,305,305,305,305,305,
3.67671e-07,75,305,305,305,305,305,305,305,
3.67671e-07,80,305,305,305,305,305,305,305,
3.67671e-07,85,305,305,305,305,305,305,305,
3.67671e-07,90,305,305,305,305,305,305,305,
3.67671e-07,95,305,305,305,305,305,305,305,
3.67671e-07,100,305,305,305,305,305,305,305,

t_Vr-->,z_V,0,1,2,3,4,5,6
8.3746e-07,5,-3.61984e-06,-2.35016e-05,4.03548e-06,-6.99168e-06,3.02185e-05,-0.000176189,-1.20612e-05,
8.3746e-07,10,-6.46876e-06,-4.1988e-05,7.20671e-06,-3.7141e-06,1.60479e-05,-9.35733e-05,-6.40678e-06,
8.3746e-07,15,3.31524e-11,2.26499e-09,-3.86228e-10,-2.9597e-13,1.2783e-12,-7.45392e-12,-5.08487e-13,
8.3746e-07,20,-3.62151e-06,-2.35032e-05,4.0338e-06,-6.97146e-06,3.01242e-05,-0.000175648,-1.20605e-05,
8.3746e-07,25,-6.46876e-06,-4.1988e-05,7.20671e-06,-3.7141e-06,1.60479e-05,-9.35733e-05,-6.40678e-06,
8.3746e-07,30,3.31524e-11,2.26499e-09,-3.86228e-10,-2.9597e-13,1.2783e-12,-7.45392e-12,-5.08487e-13,
8.3746e-07,35,-3.62151e-06,-2.35032e-05,4.0338e-06,-6.97146e-06,3.01242e-05,-0.000175648,-1.20605e-05,
8.3746e-07,40,-6.46876e-06,-4.1988e-05,7.20671e-06,-3.7141e-06,1.60479e-05,-9.35733e-05,-6.40678e-06,
8.3746e-07,45,3.31524e-11,2.26499e-09,-3.86228e-10,-2.9597e-13,1.2783e-12,-7.45392e-12,-5.08487e-13,
8.3746e-07,50,-3.62151e-06,-2.35032e-05,4.0338e-06,-6.97146e-06,3.01242e-05,-0.000175648,-1.20605e-05,
8.3746e-07,55,-6.46876e-06,-4.1988e-05,7.20671e-06,-3.7141e-06,1.60479e-05,-9.35733e-05,-6.40678e-06,
8.3746e-07,60,3.31524e-11,2.26499e-09,-3.86228e-10,-2.9597e-13,1.2783e-12,-7.45392e-12,-5.08487e-13,
8.3746e-07,65,-2.02743e-06,-1.83515e-05,3.14316e-06,-6.97146e-06,3.01242e-05,-0.000175647,-1.20605e-05,
8.3746e-07,70,-6.46876e-06,-4.1988e-05,7.20671e-06,-3.74689e-06,1.61888e-05,-9.43964e-05,-6.45004e-06,
8.3746e-07,75,2.59864e-11,-1.09287e-07,1.82056e-08,-1.25535e-07,5.30425e-07,-3.11212e-06,-6.8192e-09,
8.3746e-07,80,-2.02743e-06,-1.8463e-05,3.16175e-06,-6.97146e-06,3.01242e-05,-0.000175648,-1.20605e-05,
8.3746e-07,85,-6.46877e-06,-4.20996e-05,7.2253e-06,-3.86954e-06,1.67074e-05,-9.74385e-05,-6.46296e-06,
8.3746e-07,90,2.59864e-11,-1.09287e-07,1.82056e-08,-1.25535e-07,5.30425e-07,-3.11212e-06,-6.8192e-09,
8.3746e-07,95,-2.02743e-06,-1.8463e-05,3.16175e-06,-6.97146e-06,3.01242e-05,-0.000175648,-1.20605e-05,
8.3746e-07,100,-6.46877e-06,-4.20996e-05,7.2253e-06,-3.86954e-06,1.67074e-05,-9.74385e-05,-6.46296e-06,

8.3746e-07,5,305,305,305,305,305,305,305,
8.3746e-07,10,305,305,305,305,305,305,305,
8.3746e-07,15,305,305,305,305,305,305,305,
8.3746e-07,20,305,305,305,305,305,305,305,
8.3746e-07,25,305,305,305,305,305,305,305,
8.3746e-07,30,305,305,305,305,305,305,305,
8.3746e-07,35,305,305,305,305,305,305,305,
8.3746e-07,40,305,305,305,305,305,305,305,
8.3746e-07,45,305,305,305,305,305,305,305,
8.3746e-07,50,305,305,305,305,305,305,305,
8.3746e-07,55,305,305,305,305,305,305,305,
8.3746e-07,60,305,305,305,305,305,305,305,
8.3746e-07,65,305,305,305,305,305,305,305,
8.3746e-07,70,305,305,305,305,305,305,305,
8.3746e-07,75,305,305,305,305,305,305,305,
8.3746e-07,80,305,305,305,305,305,305,305,
8.3746e-07,85,305,305,305,305,305,305,305,
8.3746e-07,90,305,305,305,305,305,305,305,
8.3746e-07,95,305,305,305,305,305,305,305,
8.3746e-07,100,305,305,305,305,305,305,305,

t_Vr-->,z_V,0,1,2,3,4,5,6
1.30725e-06,5,-3.62067e-06,-2.35005e-05,4.03632e-06,-1.41255e-05,6.10474e-05,-0.000355943,-2.43684e-05,
1.30725e-06,10,-6.47018e-06,-4.19886e-05,7.20679e-06,-6.9193e-06,2.98969e-05,-0.000174326,-1.19364e-05,
1.30725e-06,15,3.25885e-11,4.31055e-09,-7.34792e-10,-8.55481e-13,3.69414e-12,-2.15414e-11,-1.46704e-12,
1.30725e-06,20,-3.62328e-06,-2.3503e-05,4.03369e-06,-1.41063e-05,6.09522e-05,-0.000355403,-2.43687e-05,
1.30725e-06,25,-6.47018e-06,-4.19886e-05,7.20679e-06,-6.9193e-06,2.98969e-05,-0.000174326,-1.19364e-05,
1.30725e-06,30,2.79752e-11,4.30684e-09,-7.34207e-10,-3.40137e-08,1.43818e-07,-8.43654e-07,-3.58792e-09,
1.30725e-06,35,-3.62328e-06,-2.3503e-05,4.03369e-06,-1.41063e-05,6.09522e-05,-0.000355403,-2.43687e-05,
1.30725e-06,40,-6.47018e-06,-4.19886e-05,7.20679e-06,-6.9193e-06,2.98969e-05,-0.000174326,-1.19364e-05,
1.30725e-06,45,2.79752e-11,4.30684e-09,-7.34207e-10,-3.40137e-08,1.43818e-07,-8.43654e-07,-3.58792e-09,
1.30725e-06,50,-3.62328e-06,-2.3503e-05,4.03369e-06,-1.41063e-05,6.09522e-05,-0.000355403,-2.43687e-05,
1.30725e-06,55,-6.47018e-06,-4.19886e-05,7.20679e-06,-6.94212e-06,2.9995e-05,-0.000174899,-1.19665e-05,
1.30725e-06,60,2.79752e-11,4.30684e-09,-7.34207e-10,-3.40137e-08,1.43818e-07,-8.43654e-07,-3.58792e-09,
1.30725e-06,65,-2.02911e-06,-1.6654e-05,2.85383e-06,-1.41063e-05,6.09522e-05,-0.000355403,-2.43687e-05,
1.30725e-06,70,-6.47018e-06,-4.19886e-05,7.20679e-06,-7.00771e-06,3.02769e-05,-0.000176545,-1.2053e-05,
1.30725e-06,75,3.90865e-12,-1.07257e-07,1.78595e-08,-3.64297e-08,1.5403e-07,-9.03579e-07,-3.77546e-09,
1.30725e-06,80,-2.02912e-06,-1.67656e-05,2.87242e-06,-1.41063e-05,6.09522e-05,-0.000355403,-2.43687e-05,
1.30725e-06,85,-6.47021e-06,-4.21002e-05,7.22538e-06,-7.25301e-06,3.1314e-05,-0.000182629,-1.20788e-05,
1.30725e-06,90,3.90864e-12,-1.07257e-07,1.78595e-08,-3.64298e-08,1.5403e-07,-9.03579e-07,-3.77546e-09,
1.30725e-06,95,-2.02912e-06,-1.67655e-05,2.87242e-06,-1.41063e-05,6.09522e-05,-0.000355403,-2.43687e-05,
